Time,Row,Column,Concentration,L*,a*,b*,Pinkness
0,Row 1,1,128.0,216.0,128.0,125.0,128.0
0,Row 1,2,64.0,220.0,127.0,126.0,127.0
0,Row 1,3,32.0,220.0,128.0,127.0,128.0
0,Row 1,4,16.0,131.0,149.0,88.0,149.0
0,Row 1,5,8.0,219.0,128.0,126.0,128.0
0,Row 1,6,4.0,217.0,128.0,126.0,128.0
0,Row 1,7,2.0,215.0,128.0,126.0,128.0
0,Row 1,8,1.0,213.0,128.0,126.0,128.0
0,Row 1,9,0.5,131.0,147.0,90.0,147.0
0,Row 1,10,0.25,127.0,148.0,88.0,148.0
0,Row 2,1,128.0,216.0,128.0,125.0,128.0
0,Row 2,2,64.0,219.0,128.0,126.0,128.0
0,Row 2,3,32.0,218.0,128.0,126.0,128.0
0,Row 2,4,16.0,218.0,128.0,126.0,128.0
0,Row 2,5,8.0,216.0,128.0,126.0,128.0
0,Row 2,6,4.0,214.0,128.0,126.0,128.0
0,Row 2,7,2.0,209.0,128.0,126.0,128.0
0,Row 2,8,1.0,207.0,128.0,126.0,128.0
0,Row 2,9,0.5,125.0,147.0,88.0,147.0
0,Row 2,10,0.25,116.0,153.0,84.0,153.0
15,Row 1,1,128.0,134.0,157.0,78.0,157.0
15,Row 1,2,64.0,144.0,151.0,84.0,151.0
15,Row 1,3,32.0,132.0,160.0,78.0,160.0
15,Row 1,4,16.0,135.0,158.0,80.0,158.0
15,Row 1,5,8.0,136.5,156.0,83.0,156.0
15,Row 1,6,4.0,133.0,158.0,81.0,158.0
15,Row 1,7,2.0,126.0,154.0,84.0,154.0
15,Row 1,8,1.0,119.0,155.0,84.0,155.0
15,Row 1,9,0.5,122.0,152.0,86.0,152.0
15,Row 1,10,0.25,121.0,150.0,88.0,150.0
15,Row 2,1,128.0,130.0,153.0,84.0,153.0
15,Row 2,2,64.0,140.0,152.0,84.0,152.0
15,Row 2,3,32.0,137.0,157.0,81.0,157.0
15,Row 2,4,16.0,121.0,162.0,80.0,162.0
15,Row 2,5,8.0,126.0,159.0,80.0,159.0
15,Row 2,6,4.0,124.0,159.0,81.0,159.0
15,Row 2,7,2.0,129.0,157.0,83.0,157.0
15,Row 2,8,1.0,124.0,155.0,84.0,155.0
15,Row 2,9,0.5,132.0,148.0,90.0,148.0
15,Row 2,10,0.25,126.0,148.0,90.0,148.0
30,Row 1,1,128.0,217.0,130.0,118.0,130.0
30,Row 1,2,64.0,190.0,134.0,110.0,134.0
30,Row 1,3,32.0,137.0,148.0,90.0,148.0
30,Row 1,4,16.0,128.0,150.0,88.0,150.0
30,Row 1,5,8.0,232.0,128.0,127.0,128.0
30,Row 1,6,4.0,227.0,128.0,127.0,128.0
30,Row 1,7,2.0,220.0,128.0,128.0,128.0
30,Row 1,8,1.0,215.0,128.0,127.0,128.0
30,Row 1,9,0.5,202.0,129.0,125.0,129.0
30,Row 1,10,0.25,97.0,147.0,95.0,147.0
30,Row 2,1,128.0,231.0,128.0,125.0,128.0
30,Row 2,2,64.0,230.0,128.0,125.0,128.0
30,Row 2,3,32.0,229.0,128.0,125.0,128.0
30,Row 2,4,16.0,114.0,151.0,88.0,151.0
30,Row 2,5,8.0,220.0,128.0,127.0,128.0
30,Row 2,6,4.0,213.0,128.0,128.0,128.0
30,Row 2,7,2.0,197.0,129.0,126.0,129.0
30,Row 2,8,1.0,186.0,129.0,125.0,129.0
30,Row 2,9,0.5,83.0,149.0,95.0,149.0
30,Row 2,10,0.25,75.0,147.0,98.0,147.0
45,Row 1,1,128.0,104.0,150.0,92.0,150.0
45,Row 1,2,64.0,116.0,146.0,96.0,146.0
45,Row 1,3,32.0,109.0,151.0,92.0,151.0
45,Row 1,4,16.0,110.0,152.0,91.0,152.0
45,Row 1,5,8.0,104.0,152.0,93.0,152.0
45,Row 1,6,4.0,105.0,152.0,93.0,152.0
45,Row 1,7,2.0,98.0,151.0,95.0,151.0
45,Row 1,8,1.0,91.0,163.0,106.0,163.0
45,Row 1,9,0.5,84.0,161.0,105.0,161.0
45,Row 1,10,0.25,90.0,161.0,106.0,161.0
45,Row 2,1,128.0,102.0,150.0,93.0,150.0
45,Row 2,2,64.0,115.0,149.0,92.0,149.0
45,Row 2,3,32.0,113.0,150.0,93.0,150.0
45,Row 2,4,16.0,106.0,154.0,91.0,154.0
45,Row 2,5,8.0,107.0,153.0,91.0,153.0
