Time,Row,Col,R_median,G_median,B_median,A_star_median
0,0,0,87.0,94.0,153.0,141.0
0,0,1,94.0,102.0,160.0,140.0
0,0,2,91.0,94.0,156.0,143.0
0,0,3,90.0,94.0,155.0,143.0
0,0,4,96.0,104.0,161.0,140.0
0,0,5,91.0,99.0,155.0,140.0
0,0,6,98.0,108.0,167.0,140.0
0,0,7,87.0,91.0,149.0,142.0
0,0,8,86.0,93.0,153.0,142.0
0,0,9,93.0,104.0,161.0,139.0
0,1,0,92.0,95.0,160.0,144.0
0,1,1,92.0,94.0,153.0,143.0
0,1,2,93.0,93.0,155.0,144.0
0,1,3,88.0,85.0,151.0,147.0
0,1,4,99.0,100.0,160.0,143.0
0,1,5,97.0,99.0,163.0,144.0
0,1,6,98.0,101.0,160.0,142.0
0,1,7,99.0,103.0,162.0,141.0
0,1,8,91.0,92.0,156.0,144.0
0,1,9,89.0,92.0,151.0,142.0
5,0,0,86.0,94.0,148.0,139.0
5,0,1,84.0,95.0,148.0,138.0
5,0,2,90.0,98.0,150.0,139.0
5,0,3,86.0,94.0,149.0,140.0
5,0,4,93.0,104.0,155.0,137.0
5,0,5,90.0,100.0,152.0,138.0
5,0,6,97.0,109.0,158.0,136.0
5,0,7,86.0,96.0,146.0,137.0
5,0,8,89.0,98.0,149.0,138.0
5,0,9,88.0,99.0,149.0,137.0
5,1,0,91.0,87.0,148.0,145.0
5,1,1,92.0,89.0,147.0,144.0
5,1,2,89.0,80.0,143.0,148.0
5,1,3,100.0,91.0,151.0,146.0
5,1,4,98.0,95.0,151.0,143.0
5,1,5,97.0,96.0,151.0,142.0
5,1,6,100.0,99.0,154.0,142.0
5,1,7,97.0,93.0,154.0,145.0
5,1,8,92.0,91.0,149.0,143.0
5,1,9,92.0,94.0,146.0,141.0
10,0,0,117.0,126.0,195.0,142.0
10,0,1,122.0,135.0,200.0,140.0
10,0,2,120.0,128.0,198.0,143.0
10,0,3,118.0,132.0,198.0,140.0
10,0,4,124.0,139.0,202.0,138.0
10,0,5,124.0,138.0,203.0,139.0
10,0,6,128.0,143.0,206.0,138.0
10,0,7,119.0,134.0,198.0,139.0
10,0,8,121.0,135.0,200.0,139.0
10,0,9,121.0,134.0,200.0,140.0
10,1,0,134.0,117.0,191.0,151.0
10,1,1,135.0,119.0,188.0,150.0
10,1,2,144.0,120.0,191.0,152.0
10,1,3,130.0,108.0,183.0,153.0
10,1,4,141.0,125.0,195.0,149.0
10,1,5,138.0,121.0,196.0,151.0
10,1,6,139.0,122.0,192.0,150.0
10,1,7,146.0,130.0,199.0,149.0
10,1,8,134.0,123.0,189.0,147.0
10,1,9,134.0,121.0,194.0,150.0
20,0,0,89.0,102.0,159.0,139.0
20,0,1,93.0,106.0,159.0,137.0
20,0,2,91.0,98.0,154.0,140.0
20,0,3,91.0,98.0,154.0,140.0
20,0,4,99.0,111.0,164.0,137.0
20,0,5,96.0,109.0,162.0,137.0
20,0,6,92.0,105.0,158.0,137.0
20,0,7,102.0,115.0,167.0,136.0
20,0,8,94.0,107.0,162.0,138.0
20,0,9,95.0,107.0,163.0,138.0
20,1,0,116.0,87.0,149.0,153.0
20,1,1,114.0,88.0,147.0,151.0
20,1,2,128.0,93.0,152.0,154.0
20,1,3,109.0,78.0,141.0,154.0
20,1,4,119.0,95.0,151.0,150.0
20,1,5,121.0,93.0,154.0,152.0
20,1,6,119.0,94.0,153.0,151.0
20,1,7,129.0,102.0,161.0,151.0
20,1,8,116.0,91.0,152.0,151.0
20,1,9,116.0,96.0,151.0,148.0
30,0,0,91.0,95.0,151.0,141.0
30,0,1,89.0,93.0,149.0,141.0
30,0,2,95.0,102.0,156.0,139.0
30,0,3,90.0,98.0,156.0,141.0
30,0,4,96.0,104.0,157.0,139.0
30,0,5,96.0,103.0,156.0,139.0
30,0,6,99.0,107.0,160.0,139.0
30,0,7,90.0,98.0,151.0,139.0
30,0,8,91.0,98.0,152.0,139.0
30,0,9,92.0,99.0,153.0,139.0
30,1,0,126.0,96.0,155.0,152.0
30,1,1,144.0,113.0,164.0,150.0
30,1,2,127.0,107.0,156.0,146.0
30,1,3,120.0,101.0,154.0,147.0
30,1,4,117.0,84.0,144.0,154.0
30,1,5,124.0,102.0,151.0,147.0
30,1,6,134.0,106.0,159.0,150.0
30,1,7,119.0,97.0,147.0,147.0
30,1,8,129.0,91.0,150.0,155.0
30,1,9,121.0,93.0,150.0,151.0
