Time,Row,Column,Ring,A_median,L_median
0,0,1,0,133.0,185.0
0,0,1,1,133.0,187.0
0,0,1,2,133.0,186.0
0,0,1,3,133.0,188.0
0,0,1,4,133.0,186.0
0,0,2,0,148.0,172.0
0,0,2,1,148.0,171.0
0,0,2,2,148.0,168.0
0,0,2,3,148.0,167.0
0,0,2,4,148.0,168.0
0,0,3,0,144.0,159.0
0,0,3,1,144.0,157.0
0,0,3,2,144.0,156.0
0,0,3,3,144.0,155.0
0,0,3,4,144.0,155.0
0,0,4,0,149.0,149.0
0,0,4,1,149.0,149.0
0,0,4,2,149.0,150.0
0,0,4,3,148.0,151.0
0,0,4,4,148.0,152.0
0,0,5,0,147.0,157.0
0,0,5,1,147.0,157.0
0,0,5,2,147.0,158.0
0,0,5,3,146.0,159.0
0,0,5,4,146.0,159.0
0,0,6,0,138.0,164.0
0,0,6,1,139.0,164.0
0,0,6,2,138.0,164.0
0,0,6,3,138.0,166.0
0,0,6,4,138.0,165.0
0,0,7,0,146.0,178.0
0,0,7,1,146.0,175.0
0,0,7,2,146.0,173.0
0,0,7,3,147.0,172.0
0,0,7,4,147.0,172.0
0,1,1,0,131.0,200.0
0,1,1,1,131.0,202.0
0,1,1,2,131.0,205.0
0,1,1,3,131.0,202.0
0,1,1,4,131.0,204.0
0,1,2,0,137.0,190.0
0,1,2,1,136.0,203.0
0,1,2,2,135.0,211.0
0,1,2,3,134.0,217.0
0,1,2,4,135.0,213.0
0,1,3,0,136.0,183.0
0,1,3,1,137.0,180.0
0,1,3,2,138.0,172.5
0,1,3,3,136.0,183.0
0,1,3,4,136.0,185.0
0,1,4,0,130.0,215.0
0,1,4,1,129.0,225.0
0,1,4,2,129.0,220.0
0,1,4,3,130.0,215.0
0,1,4,4,130.0,210.0
0,1,5,0,133.0,168.0
0,1,5,1,133.0,177.0
0,1,5,2,132.0,186.0
0,1,5,3,133.0,190.0
0,1,5,4,132.0,198.0
0,1,6,0,139.0,179.0
0,1,6,1,138.0,182.0
0,1,6,2,138.0,183.0
0,1,6,3,138.0,182.0
0,1,6,4,138.0,183.0
0,1,7,0,152.0,179.0
0,1,7,1,152.0,178.0
0,1,7,2,152.0,178.0
0,1,7,3,152.0,178.0
0,1,7,4,151.0,180.0
0,2,1,0,132.0,205.0
0,2,1,1,132.0,209.0
0,2,1,2,132.0,202.0
0,2,1,3,132.0,204.0
0,2,1,4,132.0,207.0
0,2,2,0,132.0,222.0
0,2,2,1,132.0,224.0
0,2,2,2,131.0,225.0
0,2,2,3,131.0,224.0
0,2,2,4,131.0,223.0
0,2,3,0,134.0,165.0
0,2,3,1,133.0,184.0
0,2,3,2,134.0,162.5
0,2,3,3,134.0,171.0
0,2,3,4,134.0,152.5
0,2,4,0,132.0,200.0
0,2,4,1,133.0,203.0
0,2,4,2,132.0,210.0
0,2,4,3,133.0,198.0
0,2,4,4,132.5,203.0
0,2,5,0,136.0,157.0
0,2,5,1,136.0,161.5
0,2,5,2,136.0,152.0
0,2,5,3,135.0,167.0
0,2,5,4,133.0,137.0
0,2,6,0,138.0,187.0
0,2,6,1,136.0,192.0
0,2,6,2,136.0,197.0
0,2,6,3,136.0,198.0
0,2,6,4,136.0,193.0
0,2,7,0,149.0,191.0
0,2,7,1,148.0,193.0
0,2,7,2,147.0,193.0
0,2,7,3,147.0,193.0
0,2,7,4,147.0,190.0
5,0,1,0,133.0,187.0
5,0,1,1,134.0,181.0
5,0,1,2,133.0,178.0
5,0,1,3,134.0,179.0
5,0,1,4,134.0,175.0
5,0,2,0,150.0,164.0
5,0,2,1,150.0,160.0
5,0,2,2,150.0,164.0
5,0,2,3,150.0,166.0
5,0,2,4,150.0,165.0
5,0,3,0,149.0,146.0
5,0,3,1,149.0,146.0
5,0,3,2,149.0,146.0
5,0,3,3,149.0,146.0
5,0,3,4,149.0,147.0
5,0,4,0,148.0,154.0
5,0,4,1,148.0,155.0
5,0,4,2,148.0,155.0
5,0,4,3,148.0,156.0
5,0,4,4,147.0,157.0
5,0,5,0,139.0,166.0
5,0,5,1,140.0,166.0
5,0,5,2,140.0,166.0
5,0,5,3,140.0,165.0
5,0,5,4,139.0,165.0
5,0,6,0,140.0,165.0
5,0,6,1,139.0,164.5
5,0,6,2,139.0,165.0
5,0,6,3,138.0,166.0
5,0,6,4,138.0,165.0
5,0,7,0,145.0,179.0
5,0,7,1,145.0,181.0
5,0,7,2,146.0,174.0
5,0,7,3,147.0,172.0
5,0,7,4,147.0,173.0
5,1,1,0,132.0,188.0
5,1,1,1,132.0,188.0
5,1,1,2,132.0,191.0
5,1,1,3,132.0,189.0
5,1,1,4,132.0,191.0
5,1,2,0,136.0,217.0
5,1,2,1,135.0,217.0
5,1,2,2,135.0,218.0
5,1,2,3,136.0,214.0
5,1,2,4,136.0,211.0
5,1,3,0,130.0,216.0
5,1,3,1,128.0,226.0
5,1,3,2,129.0,220.0
5,1,3,3,130.0,214.0
5,1,3,4,131.0,211.0
5,1,4,0,134.0,166.0
5,1,4,1,133.0,177.0
5,1,4,2,134.0,184.0
5,1,4,3,133.0,189.0
5,1,4,4,133.0,194.5
5,1,5,0,140.0,178.0
5,1,5,1,140.0,177.0
5,1,5,2,139.0,178.0
5,1,5,3,138.0,180.0
5,1,5,4,139.0,181.0
5,1,6,0,138.0,184.0
5,1,6,1,139.0,188.0
5,1,6,2,139.0,182.5
5,1,6,3,139.0,182.0
5,1,6,4,139.0,180.0
5,1,7,0,153.0,172.0
5,1,7,1,153.0,176.0
5,1,7,2,153.0,174.0
5,1,7,3,153.0,174.0
5,1,7,4,152.0,176.0
5,2,1,0,133.0,178.0
5,2,1,1,134.0,182.0
5,2,1,2,133.5,174.5
5,2,1,3,134.0,165.0
5,2,1,4,133.0,161.0
5,2,2,0,133.0,212.0
5,2,2,1,133.0,212.0
5,2,2,2,133.0,216.0
5,2,2,3,133.0,220.0
5,2,2,4,133.0,218.0
5,2,3,0,131.0,215.0
5,2,3,1,134.0,203.0
5,2,3,2,134.0,203.0
5,2,3,3,134.0,198.0
5,2,3,4,134.0,196.0
