Time,Row,Col,Detected_radius,R_median,G_median,B_median,A_star_median
0,0,0,28,92.0,96.0,147.0,140.0
0,0,1,28,92.0,92.0,147.0,142.0
0,0,2,28,93.0,95.0,150.0,142.0
0,0,3,28,93.0,93.0,150.0,143.0
0,0,4,29,94.0,95.0,153.0,143.0
0,0,5,28,96.0,97.0,152.0,141.0
0,0,6,29,96.0,99.0,152.0,140.0
0,0,7,28,93.0,95.0,150.0,142.0
0,0,8,28,96.0,101.0,153.0,140.0
0,0,9,29,104.0,110.0,157.0,137.0
0,1,0,29,93.0,96.0,149.0,140.0
0,1,1,29,88.0,89.0,146.0,142.0
0,1,2,28,90.0,89.0,149.0,144.0
0,1,3,28,92.0,90.0,149.0,144.0
0,1,4,28,91.0,90.0,150.0,144.0
0,1,5,29,91.0,90.0,149.0,143.0
0,1,6,29,91.0,91.0,148.0,143.0
0,1,7,28,89.0,91.0,152.0,143.0
0,1,8,28,95.0,99.0,151.0,140.0
0,1,9,29,103.0,108.0,159.0,139.0
0,2,0,28,98.0,103.0,156.0,140.0
0,2,1,28,97.0,94.0,153.0,144.0
0,2,2,28,98.0,96.0,148.0,141.0
0,2,3,28,97.0,97.0,153.0,142.0
0,2,4,28,96.0,96.0,153.0,142.0
0,2,5,28,94.0,94.0,150.0,142.0
0,2,6,29,93.0,94.0,149.0,142.0
0,2,7,28,93.0,95.0,151.0,141.0
0,2,8,27,95.0,98.0,155.0,142.0
0,2,9,29,102.0,108.0,160.0,139.0
0,3,0,32,118.0,123.0,184.0,141.0
0,3,1,29,110.0,116.0,183.0,143.0
0,3,2,28,111.0,116.0,183.0,143.0
0,3,3,28,103.0,109.0,174.0,142.0
0,3,4,32,106.0,111.0,176.0,143.0
0,3,5,29,111.0,119.0,177.0,139.0
0,4,0,28,120.0,127.0,186.0,140.0
0,4,1,26,108.0,111.0,184.0,146.0
0,4,2,28,110.0,114.0,181.0,143.0
0,4,3,28,101.0,104.0,168.0,143.0
0,4,4,29,104.0,108.0,172.0,143.0
0,4,5,29,107.0,113.0,175.0,141.0
10,0,0,29,96.0,101.0,151.0,139.0
10,0,1,22,86.0,87.0,147.0,143.0
10,0,2,29,91.0,94.0,149.0,141.0
10,0,3,28,89.0,91.0,147.0,142.0
10,0,4,28,87.0,90.0,145.0,142.0
10,0,5,29,89.0,92.0,143.0,140.0
10,0,6,28,87.0,90.0,142.0,140.0
10,0,7,29,85.0,88.0,142.0,141.0
10,0,8,28,87.0,92.0,143.0,139.0
10,0,9,28,95.0,100.0,146.0,138.0
10,1,0,29,91.0,95.0,152.0,142.0
10,1,1,28,85.0,87.0,147.0,143.0
10,1,2,28,84.0,86.0,145.0,143.0
10,1,3,29,85.0,86.0,144.0,143.0
10,1,4,28,81.0,82.0,141.0,144.0
10,1,5,29,80.0,81.0,137.0,142.0
10,1,6,29,81.0,81.0,136.0,142.0
10,1,7,30,80.0,83.0,142.0,143.0
10,1,8,29,86.0,89.0,141.0,140.0
10,1,9,30,94.0,99.0,146.0,138.0
10,2,0,29,97.0,103.0,157.0,140.0
10,2,1,29,95.0,94.0,153.0,143.0
10,2,2,29,94.0,94.0,145.0,141.0
10,2,3,29,91.0,93.0,150.0,142.0
10,2,4,29,90.0,92.0,148.0,142.0
10,2,5,27,85.0,87.0,142.0,142.0
10,2,6,29,85.0,87.0,140.0,141.0
10,2,7,28,82.0,85.0,141.0,142.0
10,2,8,28,85.0,89.0,142.0,140.0
10,2,9,30,95.0,100.0,148.0,138.0
10,3,0,28,113.0,112.0,177.0,144.0
10,3,1,29,109.0,109.0,176.0,145.0
10,3,2,29,108.0,108.0,174.0,145.0
10,3,3,25,91.0,98.0,166.0,144.0
10,3,4,30,94.0,101.0,166.0,143.0
10,3,5,32,108.0,116.0,172.0,139.0
10,4,0,29,122.0,123.0,180.0,141.0
10,4,1,29,110.0,106.0,176.0,147.0
10,4,2,30,110.0,107.0,174.0,146.0
10,4,3,29,93.0,98.0,159.0,142.0
10,4,4,30,95.0,100.0,163.0,143.0
10,4,5,29,94.0,100.0,162.0,142.0
20,0,0,28,113.0,122.0,179.0,139.0
20,0,1,28,111.0,113.0,179.0,144.0
20,0,2,27,110.0,116.0,180.0,142.0
20,0,3,27,111.0,115.0,183.0,144.0
20,0,4,26,112.0,118.0,189.0,144.0
20,0,5,27,118.0,124.0,191.0,143.0
20,0,6,28,119.0,128.0,193.0,141.0
20,0,7,27,118.0,126.0,194.0,142.0
20,0,8,28,122.0,133.0,196.0,140.0
20,0,9,28,131.0,145.0,201.0,136.0
20,1,0,27,109.0,115.0,179.0,142.0
20,1,1,28,104.0,106.0,175.0,145.0
20,1,2,27,106.0,107.0,179.0,146.0
20,1,3,29,110.0,112.0,182.0,145.0
