Time,Row,Column,R_median,G_median,B_median,L_median,A_median,B_lab_median,H_median,S_median,V_median
0,0,1,148.0,164.0,224.0,174.0,137.0,96.0,114.0,86.0,224.0
0,0,2,127.0,145.0,213.0,156.0,139.0,91.0,114.0,104.0,213.0
0,0,3,127.0,121.0,204.0,139.0,151.0,85.0,123.0,104.0,204.0
0,0,4,129.0,139.0,194.0,150.0,138.0,98.0,115.0,85.0,194.0
0,0,5,151.0,167.0,226.0,177.0,136.0,96.0,114.0,85.0,226.0
0,0,6,122.0,136.0,207.0,149.0,141.0,90.0,115.0,105.0,207.0
0,0,7,159.0,176.0,229.0,185.0,133.0,100.0,112.0,77.0,229.0
0,1,1,153.0,174.0,229.0,182.0,134.0,97.0,112.0,85.0,229.0
0,1,2,158.0,152.0,232.0,169.0,148.0,88.0,122.0,88.0,232.0
0,1,3,140.0,136.0,214.0,153.0,148.0,88.0,122.0,94.0,214.0
0,1,4,141.0,157.0,221.0,168.0,138.0,93.0,114.0,93.0,221.0
0,1,5,169.0,157.0,225.0,174.0,146.0,95.0,125.0,77.0,225.0
0,1,6,152.0,169.0,229.0,179.0,136.0,96.0,114.0,85.0,229.0
0,1,7,153.0,135.0,213.0,155.0,151.0,91.0,127.0,92.0,213.0
0,2,1,183.0,201.0,241.0,206.0,130.0,106.0,111.0,62.0,241.0
0,2,2,203.0,207.0,250.0,215.0,135.0,107.0,117.0,49.0,250.0
0,2,3,196.0,213.0,249.0,217.0,130.0,109.0,110.0,54.0,249.0
0,2,4,163.0,174.0,238.0,185.0,138.0,96.0,115.0,80.0,238.0
0,2,5,182.0,159.0,237.0,179.0,152.0,92.0,129.0,84.0,237.0
0,2,6,149.0,165.0,224.0,175.0,136.0,96.0,114.0,85.0,224.0
0,2,7,160.0,178.0,235.0,186.0,135.0,97.0,113.0,81.0,235.0
5,0,1,153.0,166.0,229.0,177.0,137.0,96.0,115.0,84.0,229.0
5,0,2,130.0,144.0,216.0,157.0,141.0,90.0,115.0,101.0,216.0
5,0,3,127.0,119.0,205.0,138.0,151.0,85.0,123.0,106.0,205.0
5,0,4,132.0,141.0,197.0,153.0,137.0,99.0,115.0,84.0,197.0
5,0,5,155.0,166.0,229.0,177.0,138.0,95.0,115.0,83.0,229.0
5,0,6,126.0,138.0,213.0,151.0,142.0,88.0,116.0,104.0,213.0
5,0,7,165.0,181.0,231.0,189.0,134.0,101.0,113.0,72.0,231.0
5,1,1,159.0,177.0,228.0,185.0,133.0,101.0,112.0,77.0,228.0
5,1,2,152.0,145.0,230.0,163.0,150.0,86.0,123.0,95.0,230.0
5,1,3,133.0,128.0,209.0,146.0,149.0,86.0,122.0,99.0,209.0
5,1,4,139.0,152.0,221.0,164.0,140.0,91.0,115.0,95.0,221.0
5,1,5,168.0,158.0,227.0,174.0,146.0,94.0,124.0,78.0,227.0
5,1,6,152.0,166.0,228.0,177.0,138.0,95.0,115.0,85.0,228.0
5,1,7,149.0,130.0,211.0,151.0,153.0,89.0,127.0,98.0,211.0
